split,tokens,content,words,audio_valid,vision_valid,audio_zero_eq_content,repeated_audio,expected_repeat,audio_vision_missing_same,truncated,word_loss
train,41,39,34,39,39,1,5,5,1,0,0.0
train,20,18,16,18,3,1,2,2,0,0,0.0
train,26,24,22,24,18,1,2,2,0,0,0.0
train,12,10,10,10,0,1,0,0,0,0,0.0
train,13,11,10,11,11,1,1,1,1,0,0.0
train,20,18,16,18,18,1,2,2,1,0,0.0
train,10,8,7,8,0,1,1,1,0,0,0.0
train,50,48,65,48,48,1,9,0,1,1,0.2615384615384615
train,30,28,23,28,28,1,5,5,1,0,0.0
train,31,29,26,29,29,1,3,3,1,0,0.0
train,18,16,14,16,16,1,2,2,1,0,0.0
train,50,48,41,48,48,1,14,7,1,0,0.0
train,34,32,27,32,32,1,5,5,1,0,0.0
train,23,21,20,21,21,1,1,1,1,0,0.0
train,31,29,26,29,29,1,3,3,1,0,0.0
train,50,48,43,48,48,1,5,5,1,0,0.0
train,31,29,22,29,29,1,7,7,1,0,0.0
train,10,8,8,8,8,1,0,0,1,0,0.0
train,23,21,16,21,21,1,5,5,1,0,0.0
train,19,17,16,17,17,1,1,1,1,0,0.0
train,21,19,16,19,19,1,3,3,1,0,0.0
train,13,11,9,11,11,1,2,2,1,0,0.0
train,29,27,20,27,27,1,7,7,1,0,0.0
train,23,21,20,21,21,1,1,1,1,0,0.0
train,41,39,33,39,39,1,6,6,1,0,0.0
train,10,8,8,8,8,1,0,0,1,0,0.0
train,13,11,10,11,11,1,1,1,1,0,0.0
train,28,26,23,26,26,1,3,3,1,0,0.0
train,10,8,8,8,8,1,0,0,1,0,0.0
train,18,16,12,16,16,1,4,4,1,0,0.0
train,11,9,9,9,9,1,0,0,1,0,0.0
train,13,11,5,11,11,1,6,6,1,0,0.0
train,16,14,13,14,14,1,1,1,1,0,0.0
train,32,30,26,30,30,1,4,4,1,0,0.0
train,20,18,17,18,18,1,1,1,1,0,0.0
train,20,18,10,18,18,1,8,8,1,0,0.0
train,14,12,12,12,12,1,0,0,1,0,0.0
train,14,12,11,12,12,1,1,1,1,0,0.0
train,37,35,30,35,35,1,5,5,1,0,0.0
train,13,11,9,11,11,1,2,2,1,0,0.0
train,10,8,8,8,8,1,0,0,1,0,0.0
train,17,15,14,15,15,1,1,1,1,0,0.0
train,21,19,11,19,19,1,8,8,1,0,0.0
train,28,26,18,26,26,1,8,8,1,0,0.0
train,31,29,18,29,29,1,11,11,1,0,0.0
train,17,15,14,15,15,1,1,1,1,0,0.0
train,22,20,13,20,20,1,7,7,1,0,0.0
train,38,36,27,36,36,1,9,9,1,0,0.0
train,6,4,4,4,4,1,0,0,1,0,0.0
train,12,10,9,10,10,1,1,1,1,0,0.0
train,16,14,14,14,14,1,0,0,1,0,0.0
train,21,19,13,19,19,1,6,6,1,0,0.0
train,39,37,29,37,34,1,8,8,0,0,0.0
train,17,15,15,15,15,1,0,0,1,0,0.0
train,17,15,15,15,15,1,0,0,1,0,0.0
train,33,31,27,31,31,1,4,4,1,0,0.0
train,35,33,26,33,33,1,7,7,1,0,0.0
train,21,19,19,19,19,1,0,0,1,0,0.0
train,9,7,5,7,7,1,2,2,1,0,0.0
train,27,25,20,25,25,1,5,5,1,0,0.0
train,20,18,15,18,18,1,3,3,1,0,0.0
train,31,29,24,29,29,1,5,5,1,0,0.0
train,22,20,19,20,20,1,1,1,1,0,0.0
train,23,21,16,21,21,1,5,5,1,0,0.0
train,8,6,6,6,6,1,0,0,1,0,0.0
train,50,48,47,48,48,1,3,1,1,0,0.0
train,19,17,13,17,17,1,4,4,1,0,0.0
train,50,48,70,48,48,1,15,0,1,1,0.3142857142857143
train,20,18,16,18,18,1,2,2,1,0,0.0
train,19,17,13,17,17,1,4,4,1,0,0.0
train,10,8,5,8,1,1,3,3,0,0,0.0
train,20,18,10,18,18,1,8,8,1,0,0.0
train,22,20,15,20,15,1,5,5,0,0,0.0
train,48,46,33,46,46,1,13,13,1,0,0.0
train,21,19,18,19,19,1,1,1,1,0,0.0
train,31,29,23,29,29,1,6,6,1,0,0.0
train,16,14,11,14,14,1,3,3,1,0,0.0
train,18,16,13,16,16,1,3,3,1,0,0.0
train,19,17,12,17,17,1,5,5,1,0,0.0
train,14,12,12,12,12,1,0,0,1,0,0.0
train,20,18,18,18,18,1,0,0,1,0,0.0
train,13,11,7,11,11,1,4,4,1,0,0.0
train,27,25,21,25,25,1,4,4,1,0,0.0
train,22,20,15,20,20,1,5,5,1,0,0.0
train,6,4,4,4,4,1,0,0,1,0,0.0
train,32,30,26,30,30,1,4,4,1,0,0.0
train,28,26,21,26,26,1,5,5,1,0,0.0
train,31,29,23,29,29,1,6,6,1,0,0.0
