附件,检查项,实测现象,对建模的危害,本文对策
附件1,源视频被重复切分,100 条 clip 仅来自 37 个源视频（单视频最多 9 段）,同源片段若跨划分会造成信息泄漏,问题一为逐样本特征任务，不涉及划分；已登记该结构并在评审中提示
附件1,容器参数高度碎片化,8 种分辨率、4 种帧率（主流 1280×720 占 56%）,帧尺度不一致，逐帧特征不可直接比大小,全部特征按词区间池化后再标准化，消除绝对尺度
附件1,时长跨度极大,2.23–29.11 s，相差 13.1 倍,长样本词数多，直接拼接会主导损失,词区间等权池化 + 逐样本归一化，损失在样本级平均
附件1,人脸/人体漏检,14 条检测不到人脸、5 条检测不到姿态、5 条两者皆无,视觉分支出现全零，等同于模态缺失,显式写入视觉掩码并在问题二训练中作为缺失模态处理
附件1,最近帧补位比例偏高,均值 0.222，最大 0.464，93/100 条存在补位,补位值被重复计数会高估视觉置信度,记录补位掩码，仅在无观测时启用，并在质量清单中单列
附件1,强制对齐置信度偏低,最低 0.017，中位 0.802，11 条低于 0.3,词时间戳可能错位，污染池化区间,给出人工复核清单，并以最近帧补位容差 0.1 s 兜底
附件2,文本超长被截断,129 条（2.66%），最严重丢失 84% 的词,文本语义不完整但标签完整，形成错配样本,在结果分析中单列，不删除以保持与官方划分一致
附件2,50 位网格稀疏,中位仅 21/50 位承载内容（均值 22.9）,零填充位若参与注意力会稀释真实信号,显式可用性掩码，特殊槽与填充位一律置零并屏蔽
附件2,零值语义歧义,音频非零位与文本内容位完全一致的样本占 99.90%,无法区分「真缺失」与「合法零值」,以结构反演确认「零值即缺失」，统一用掩码表达
附件2,子词复制造成冗余,相邻声画向量完全相同的位数等于 m−2−W 的样本占 93.6%（4538/4850）,同一词被重复计入损失权重,以词为语义单元解释结果，并在论文中说明该冗余
附件2,类别严重不平衡,中性类占比 0.22–0.25，正向类约 0.50,Accuracy 会被多数类支配,全部结论以 macro-F1 为主指标，并给出逐类混淆矩阵
附件3,标签缺失,30 条样本无任何标签,无法直接监督,分解为无监督结构约束 + 与附件2 共享的迁移推理
附件3,额外缺失形态未知,语音额外缺失率 0%–50%，视觉 0%–50%，合计 20.9%,按错误分布增强会与真实测试分布错配,先反演其分布，再按其形态构造多尺度缺失模拟
附件3,缺失位置高度相关,29/30 条样本语音与视觉缺失位置完全相同,两模态同时失效，融合退化为单模态,模拟时保留「声画同缺失」与「部分重叠」两种模式
附件4,无时间戳,20 条样本只有 50 位特征，无起始时间,无法直接给出时间定位,重建 BERT 词元与附件4 逐位核对，再回溯到原始视频
附件4,视觉通道整段失效,样本 13 的视觉全零,该样本的视觉解释无效,解释输出按模态有效性过滤，只报告可用模态的证据
